artists,title,points,pos,max_pos,year_released,year_charts,weeks_top10,title_spotify,artist_spotify,id_spotify,match_score,image,tags
Pink feat. Nate Ruess,Just Give Me A Reason,103,14,1,2013,2013,9,Just Give Me a Reason (feat. Nate Ruess),"P!nk, Nate Ruess",1mKXFLRA179hdOWQBwUk9e,1.0000000834465026,https://i.scdn.co/image/ab67616d0000b2739d0f0d226987b449808e7b6f,"['LOVE LOVE LOVE', 'P!nk', 'takes you to another place', 'love at first listen', 'love forever']"
Justin Timberlake,Mirrors,89,15,2,2013,2013,10,Mirrors,Justin Timberlake,4rHZZAmHpZrA3iH5zx8frV,1.0000001192092896,https://i.scdn.co/image/ab67616d0000b273db1d1cdc927a07825a2ed244,"['pop', 'Justin Timberlake', 'epic', 'best of 2013', '2013']"
Olly Murs (UK X-Factor 6),Dear Darlin',87,16,2,2013,2013,11,Dear Darlin',Olly Murs,0s0JMUkb2WCxIJsRB3G7Hd,1.0000000357627867,https://i.scdn.co/image/ab67616d0000b273b95f5f8768a25c70d72f91d0,
Jason DeRülo feat. 2 Chainz,Talk Dirty,87,17,1,2013,2013,7,Talk Dirty (feat. 2 Chainz),"Jason Derulo, 2 Chainz",5l3CML2OnzfNs5RfVgbcLt,1.0000000298023224,https://i.scdn.co/image/ab67616d0000b273ba30e4d27e93015180b4924d,"['rap', 'sexy', 'saxophone', 'party', 'rnb']"
Psy,Gangnam Style,84,18,1,2012,2013,9,Gangnam Style (강남스타일),PSY,03UrZgTINDqvnUMbbIMhql,1.0,https://i.scdn.co/image/ab67616d0000b2736cfc57e5358c5e39e79bccbd,"['k-pop', 'dance', 'pop', 'Korean', 'psy']"
Adel Tawil,Lieder,79,19,2,2013,2013,7,Lieder,Adel Tawil,2ZoO0uLQRp2WhTlyIH8PJf,1.0,https://i.scdn.co/image/ab67616d0000b273882cfe426140c3af6848d7b0,"['pop', 'rock', 'deutsch', 'german', 'Musikgruppe Berufsbildungswerk Neumuenster']"
Milky Chance,Stolen Dance,75,20,2,2013,2013,9,Stolen Dance,Milky Chance,34xGLuxM0rkxhCVyMSqwJO,1.0000000357627867,https://i.scdn.co/image/ab67616d0000b2732001bc1b4dd82d06631fcb9e,"['indie', 'indie folk', 'pop', 'fip', 'indie dance']"
Cro,Whatever,70,21,1,2013,2013,8,Whatever,CRO,2jEM4UBJxs98Uf4NEe48iD,1.0,https://i.scdn.co/image/ab67616d0000b27342cf1d19ddab1d6a51322098,"['cro', 'precious panda', 'Hip-Hop', 'hip hop', 'pop']"
Rihanna,Diamonds,69,22,1,2012,2013,7,Diamonds,Rihanna,6O20JhBJPePEkBdrB5sqRx,1.0000000357627867,https://i.scdn.co/image/ab67616d0000b2736dee21d6cd1823e4d6231d37,"['pop', 'Rihanna', 'diamonds', 'rnb', '2012']"
Sportfreunde Stiller,Applaus!! Applaus!!,65,23,4,2013,2013,12,"Applaus, Applaus",Sportfreunde Stiller,0qOZEyHXwMC5JqcUeTaPvi,1.0000000357627867,https://i.scdn.co/image/ab67616d0000b273e71ffb08f6b6d762bdaf5565,[]
OneRepublic,Counting Stars,65,24,3,2013,2013,10,Counting Stars,OneRepublic,2tpWsVSb9UEmDRxAl1zhX1,1.0,https://i.scdn.co/image/ab67616d0000b2739e2f95ae77cf436017ada9cb,"['pop rock', 'rock', 'pop', 'love at first listen', 'melancholic']"
Olly Murs (UK X-Factor 6) feat. Flo Rida,Troublemaker,65,25,2,2013,2013,7,Troublemaker (feat. Flo Rida),"Olly Murs, Flo Rida",6s8nHXTJVqFjXE4yVZPDHR,1.0,https://i.scdn.co/image/ab67616d0000b273b95f5f8768a25c70d72f91d0,
Martin Garrix,Animals,62,26,4,2013,2013,13,Animals,Martin Garrix,0A9mHc7oYUoCECqByV8cQR,1.0000000357627867,https://i.scdn.co/image/ab67616d0000b2736abad6915a2216dc18e7e3a7,"['House', 'electronic', 'Progressive House', 'dance', 'party']"
Sido,Bilder im Kopf,62,27,5,2012,2013,12,Bilder im Kopf,Sido,3AzVdNe7tCYbjjRzQyVLbN,1.000000202655792,https://i.scdn.co/image/ab67616d0000b273dfbcbe30c3cc0aab5d6e7c9a,"['hip hop', 'christian alexander tietgen', 'Awesome', 'german', 'neu']"
Imagine Dragons,Radioactive,60,28,4,2013,2013,10,Radioactive,Imagine Dragons,62yJjFtgkhUrXktIoSjgP2,1.0000001549720765,https://i.scdn.co/image/ab67616d0000b273407bd04707c463bbb3410737,"['indie', 'rock', 'alternative', 'indie rock', 'american']"
James Blunt,Bonfire Heart,60,29,1,2013,2013,6,Bonfire Heart,James Blunt,2N0volXQpwsvjDorTTxBAU,1.0,https://i.scdn.co/image/ab67616d0000b273fcf5fe7c303170c384855fe2,"['rock', 'singer-songwriter', 'alternative', 'JAMES BLUNT', 'pop']"
Birdy,People Help The People,59,30,3,2012,2013,10,People Help the People,Birdy,0YywjDvFudcaHG74NuWISy,1.000000149011612,https://i.scdn.co/image/ab67616d0000b2733661c01b54e181d01bd439a1,"['piano', 'folk', 'british', 'female vocalists', 'cover']"
James Arthur (UK X-Factor 9),Impossible,55,31,5,2013,2013,14,Impossible,James Arthur,5yVIlYEHZxQVLyInCdldoS,1.0000000655651091,https://i.scdn.co/image/ab67616d0000b273192221f838b7b6b9cb4629bf,
Rihanna feat. Mikky Ekko,Stay,52,32,2,2013,2013,7,Stay,"Rihanna, Mikky Ekko",0GNI8K3VATWBABQFAzBAYe,1.0,https://i.scdn.co/image/ab67616d0000b2736dee21d6cd1823e4d6231d37,"['pop', 'rnb', 'Rihanna', 'Love', 'piano']"
Icona Pop feat. Charli XCX,I Love It,50,33,3,2012,2013,8,I Love It (feat. Charli XCX),"Icona Pop, Charli xcx",12zpU2S4lMdrK9dvsOoL1m,1.0,https://i.scdn.co/image/ab67616d0000b2735f556145b06c18e4ae164e2f,"['dance', 'pop', 'electro house', 'electronic', 'electronica']"
